             CooksD  CooksD_flag  StdResid  StdResid_flag  StudResid  StudResid_flag    DFFITS  DFFITS_flag  COVRATIO  COVRATIO_flag  DFBETAS_flag
71.0   1.001090e-02        False -0.925601          False  -0.925422           False -0.458418        False  1.255549           True          True
72.0   3.039597e-05        False  0.179032          False   0.178798           False  0.025232        False  1.077437          False         False
73.0   4.471042e-04        False -0.634358          False  -0.633846           False -0.096820        False  1.058607          False         False
74.0   1.622889e-05        False  0.110558          False   0.110411           False  0.018436        False  1.087073          False         False
75.0   1.546329e-05        False  0.150496          False   0.150298           False  0.017996        False  1.072115          False         False
76.0   1.070474e-03        False -0.485313          False  -0.484812           False -0.149778        False  1.143970          False         False
77.0   1.959378e-03        False -0.739388          False  -0.738936           False -0.202723        False  1.103271          False          True
78.0   8.608477e-05        False -0.138853          False  -0.138670           False -0.042462        False  1.156286          False         False
79.0   4.027534e-05        False -0.138976          False  -0.138792           False -0.029044        False  1.103454          False         False
80.0   3.704113e-04        False -0.526408          False  -0.525895           False -0.088111        False  1.071086          False         False
81.0   6.840753e-03        False  1.466691          False   1.468978           False  0.379611        False  0.999206          False          True
82.0   3.779911e-04        False  0.316851          False   0.316467           False  0.088986        False  1.135522          False         False
83.0   2.034199e-03        False  1.088279          False   1.088550           False  0.206735        False  1.025282          False          True
84.0   3.855126e-04        False  0.340229          False   0.339823           False  0.089869        False  1.124938          False         False
85.0   2.347325e-04        False -0.557458          False  -0.556940           False -0.070144        False  1.056351          False         False
86.0   1.337332e-03        False -1.152430          False  -1.152941           False -0.167657        False  1.002298          False          True
87.0   6.334932e-04        False -1.052211          False  -1.052364           False -0.115357        False  1.005879          False         False
88.0   3.872078e-05        False -0.215694          False  -0.215416           False -0.028479        False  1.073982          False         False
89.0   4.069980e-05        False -0.251675          False  -0.251357           False -0.029198        False  1.068759          False         False
90.0   4.760935e-05        False  0.156382          False   0.156176           False  0.031578        False  1.100060          False         False
91.0   3.023549e-04        False -0.413357          False  -0.412894           False -0.079594        False  1.087078          False         False
92.0   6.158781e-05        False -0.324915          False  -0.324523           False -0.035920        False  1.064899          False         False
93.0   4.062663e-05        False  0.232278          False   0.231982           False  0.029172        False  1.071774          False         False
94.0   7.641286e-04        False  0.562982          False   0.562463           False  0.126559        False  1.092120          False         False
95.0   4.410557e-04        False  0.372268          False   0.371835           False  0.096128        False  1.120226          False         False
96.0   1.659840e-03        False -1.324921          False  -1.326275           False -0.186890        False  0.977012          False         False
97.0   5.663576e-05        False -0.335984          False  -0.335582           False -0.034446        False  1.062655          False         False
98.0   8.300806e-04        False -0.893830          False  -0.893588           False -0.131993        False  1.033543          False         False
99.0   3.905823e-04        False -0.747517          False  -0.747072           False -0.090512        False  1.040394          False         False
100.0  6.264803e-04        False -0.676532          False  -0.676037           False -0.114616        False  1.060877          False         False
101.0  1.109366e-03        False  1.276632          False   1.277720           False  0.152763        False  0.978649          False         False
102.0  1.897269e-02        False -1.827452          False  -1.833257           False -0.633215         True  0.979708          False          True
103.0  8.210043e-04        False -0.575925          False  -0.575406           False -0.131187        False  1.092611          False         False
104.0  1.435440e-05        False -0.090383          False  -0.090262           False -0.017339        False  1.096862          False         False
105.0  6.825255e-05        False  0.262224          False   0.261894           False  0.037811        False  1.076180          False         False
106.0  3.738343e-04        False -0.599257          False  -0.598738           False -0.088527        False  1.059682          False         False
107.0  1.166247e-03        False -1.158393          False  -1.158929           False -0.156569        False  0.998675          False         False
108.0  3.178219e-02        False -2.277393           True  -2.290387            True -0.821623         True  0.888772          False          True
